2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:13		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:14		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:15		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:16		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:17		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:18		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:19		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:20		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:21		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:22		 visibility_08012020_120000.csv: File loaded successfully!!
2020-02-14/20:44:22		 visibility_08012020_120000.csv: File loaded successfully!!
